FEC23a-53	0.1552
FEC23a-54	0.1976
FEC23a-55	0.1802
FEC23a-56	0.2346
FEC23a-57	0.3011
FEC23a-58	0.1896
FEC23a-59	0.1549
FEC23a-5	0.1302
FEC23a-60	0.2063
FEC23a-6	0.2178
FEC23a-7	0.1859
FEC23a-9	0.3770
FI1012-001	0.9998
FI1012-002	0.9997
FI1012-003	0.9998
FI1012-004	0.9999
FI1012-005	0.9998
FI1012-006	0.9985
FI1012-007	0.9994
FI1012-008	0.9980
FI1012-009	0.9998
FI1012-010	0.9998
FI1012-011	0.9998
FI1012-012	0.9998
FI1012-013	0.9997
FI1012-014	0.9994
FI1012-015	0.9998
FI1012-016	0.9999
FI1012-017	0.9993
FI1012-019	0.9999
FI1012-020	0.9998
FI1012-021	0.9999
FIS1013a-001	0.9998
FIS1013a-002	0.9995
FIS1013a-003	0.9945
FIS1013a-004	0.9585
FIS1013a-005	0.9996
